test_model	ece	ece_iptm	r	fpr	fpr_iptm
Boltz-2	0.20440588010489696	0.32174920105450866	0.5906413357169162	0.4772727272727273	0.44642857142857145
OpenFold3	0.16283532501437534	0.2072267998228521	0.5219464043112939	0.06	0.15822784810126583
Protenix	0.0947937052776722	0.2364431359865123	0.6899573441062034	0.22264150943396227	0.24236641221374045
