pdb	trunk	DockQ_HA	iptm	aggregate_score
7y3o	0	0.0302474713027856	0.5670272707939148	0.5939570665359497
7y3o	1	0.015984985878237	0.5629318952560425	0.591313362121582
7y3o	2	0.0188326725014545	0.571117103099823	0.6006091833114624
7y3o	3	0.0294807151633372	0.5792109966278076	0.6082279086112976
7y3o	4	0.0222641125139387	0.5734891295433044	0.6023577451705933
7yds	0	0.4621345368042605	0.7661571502685547	0.7829532623291016
7yds	1	0.4570866335813877	0.7640098929405212	0.780863881111145
7yds	2	0.4048599062421757	0.7632750272750854	0.7800720930099487
7yds	3	0.4650154465368531	0.7704628705978394	0.7871713638305664
7yds	4	0.4830220677056209	0.7675470113754272	0.7842771410942078
7yv1	0	0.0674550612591814	0.6691781878471375	0.6924008727073669
7yv1	1	0.1029087859704633	0.6676956415176392	0.6910232901573181
7yv1	2	0.1348686809713083	0.6591460704803467	0.6834090352058411
7yv1	3	0.0803542743617627	0.6682000756263733	0.6913954019546509
7yv1	4	0.1229032813190964	0.6637298464775085	0.6876466870307922
7z1x	0		0.22692199051380157	0.3098556399345398
7z1x	1		0.2559192180633545	0.3357897996902466
7z1x	2		0.2380305826663971	0.32175570726394653
7z1x	3		0.22820024192333221	0.31151098012924194
7z1x	4		0.2296036183834076	0.31187865138053894
7zau	0		0.21681413054466248	0.3342365026473999
7zau	1		0.22043566405773163	0.33697807788848877
7zau	2		0.2167007178068161	0.3343353867530823
7zau	3		0.21734115481376648	0.3344995379447937
7zau	4		0.2201150506734848	0.3368311822414398
7zoz	0	0.156869267662967	0.6879018545150757	0.7104520797729492
7zoz	1	0.0483806757475152	0.6842536330223083	0.7067814469337463
7zoz	2	0.066664185165442	0.671065092086792	0.6949895620346069
7zoz	3	0.0798746668215085	0.6725265979766846	0.6962948441505432
7zoz	4	0.3367107288409885	0.682003378868103	0.7051876187324524
8a44	0	0.0049236648688576	0.6118093729019165	0.6356430053710938
8a44	1	0.0049088119035564	0.6263555288314819	0.6485500335693359
8a44	2	0.0048206072707997	0.6129275560379028	0.6367897391319275
8a44	3	0.0049141605421173	0.6164660453796387	0.6391788721084595
8a44	4	0.0048759023767332	0.6132571697235107	0.6365716457366943
8acf	0	0.0380328301400248	0.7803614139556885	0.7956598401069641
8acf	1	0.0160967799490885	0.7289425134658813	0.7477570176124573
8acf	2	0.0378462673473985	0.7524843215942383	0.7699431777000427
8acf	3	0.0382487056196994	0.730356752872467	0.749906063079834
8acf	4	0.0378990598980546	0.7827268838882446	0.7974247932434082
8aci	0	0.0579515417047068	0.7585276365280151	0.7754479050636292
8aci	1	0.0532250018627512	0.7399095296859741	0.7581939697265625
8aci	2	0.0396547556882027	0.7160540223121643	0.7368480563163757
8aci	3	0.0565585681200858	0.7306582927703857	0.7502059936523438
8aci	4	0.032628034186352	0.734872043132782	0.7530284523963928
8aok	0	0.4389795149602474	0.48881813883781433	0.5488359928131104
8aok	1	0.437730267416619	0.49770376086235046	0.5569281578063965
8aok	3	0.4478707449374233	0.5133475661277771	0.5712597966194153
8aok	4	0.4396958443092885	0.5017016530036926	0.5609325170516968
8aom	0	0.7719325956779709	0.7430941462516785	0.7622586488723755
